# One At a Time:
  Program:          | 2,4,1,1,7,5,1,5,0,3,4,3,5,5,3,0
  A: 35184372088838 | 2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088846 | 2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088854 | 2,6,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088862 | 2,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088866 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088870 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088878 | 2,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088885 | 2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088886 | 2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088894 | 2,3,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088900 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088902 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088903 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088904 | 0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088905 | 4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088906 | 7,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088907 | 5,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088908 | 2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088909 | 5,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088910 | 2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088911 | 2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088912 | 4,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088913 | 4,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088914 | 4,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088915 | 3,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088916 | 2,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088917 | 4,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088918 | 2,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088919 | 2,7,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088920 | 0,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088921 | 4,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088922 | 5,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088923 | 1,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088924 | 2,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088925 | 4,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088926 | 2,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088927 | 2,5,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088928 | 4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088929 | 4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088930 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088931 | 7,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088932 | 3,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088933 | 7,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088934 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088935 | 2,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088936 | 0,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088937 | 4,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088938 | 3,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088939 | 5,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088940 | 3,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088941 | 7,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088942 | 2,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088943 | 2,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4
  A: 35184372088944 | 4,2,4,4,4,4,4,4,4,4,4,4,4,4,0,4
